年月,主口径_等效次数(窗口法),主口径_净收益(元),主口径_等效净收益(元),原始最大需量(kW),储能后最大需量(kW),主口径_充电电量(kWh),主口径_放电电量(kWh)
2024-12,12.496902868161003,56271.36115881022,249201.742274731,9531.2,12096.966222222221,122192.98328165215,103874.3
2025-01,52.9546875725235,240978.10509645473,249010.7085996699,9214.8,12103.810666666668,517058.3112690039,439542.9974768
2025-02,41.82420115507351,235287.03314159685,235287.03314159688,10200.4,12097.24,408262.2672404138,347057.22118480003
2025-03,39.57515063870812,224919.77994675533,224919.77994675533,4732.0,9732.917556382661,386308.41187459114,328394.6
2025-04,45.03040491684743,256172.3788244753,256172.37882447528,10127.6,12111.476444444444,439559.267084194,373662.3
2025-05,59.61905064444444,338274.59199453704,338274.59199453704,10715.6,12122.01688888889,581964.7026030369,494718.8822476
2025-06,57.73305825900217,327431.2526956556,327431.2526956556,10323.6,12121.880000000001,563760.6606325964,479243.9174332
2025-07,59.380895383899734,246632.76861252205,246632.76861252205,8817.2,12121.811555555556,579639.976632427,492742.6698956
2025-08,59.94516239580622,236761.56039502146,236761.56039502146,8358.0,12122.153777777778,585148.0060328156,497424.9575604
2025-09,55.13416040289226,231779.05912823827,231779.05912823827,12160.4,12160.4,538185.9475336554,457503.2630232
2025-10,58.37413834658954,340606.7130184579,340606.7130184579,6498.8,11514.622222222222,569812.6302812428,484388.6
2025-11,52.20242227042661,306390.92388108466,316956.12815284624,7630.0,11805.822222222223,509568.1132688063,433175.7
2025-12,45.16080983369486,195246.119384558,252192.90420505407,10508.4,11850.622222222222,460354.976684657,374744.4
